,repo,issues_opened,issues_closed,total_issues,pulls_opened,pulls_closed,total_pulls,n_commits,additions,deletions,total_changes
199,eagle_real,0,0,0,0,0,0,0,0.0,0.0,0.0
200,happi-to-confluence,0,0,1,0,0,0,0,0.0,0.0,0.0
201,lcls-plc-mfx-motion,0,0,0,0,0,0,3,68690.0,3505.0,72195.0
202,lcls-twincat-physics,0,0,1,0,0,0,0,0.0,0.0,0.0
203,lcls-plc-tmo-spectrometer-motion,0,0,0,0,0,0,0,0.0,0.0,0.0
204,psdaq-control-minimal,0,0,1,0,0,0,0,0.0,0.0,0.0
205,lcls-plc-rix-sds-injector,0,0,0,0,0,0,0,0.0,0.0,0.0
206,twincat-root,0,0,0,0,0,0,0,0.0,0.0,0.0
207,old-setra-5000-ioc,0,0,0,0,0,0,0,0.0,0.0,0.0
208,pcds-gateway-tests,0,0,2,0,0,0,0,0.0,0.0,0.0
209,ads-log-daemon-pcdsenv,0,0,0,0,0,0,0,0.0,0.0,0.0
210,lcls-plc-test-m1l1-sat,0,0,0,0,0,0,0,0.0,0.0,0.0
211,lcls-plc-test-m4k4-m5k4-dream-sat,0,0,0,0,0,0,1,3.0,7.0,10.0
212,shared-dotfiles,0,0,21,0,0,2,0,0.0,0.0,0.0
213,TwinCat3_CPP_Examples,0,0,0,0,0,0,0,0.0,0.0,0.0
214,plc-log-timestamps,0,0,0,0,0,0,0,0.0,0.0,0.0
215,lcls-plc-qrix-motion,1,0,3,1,0,1,6,205599.0,69527.0,275126.0
216,lcls-plc-qrix-vac,0,0,1,0,0,0,0,0.0,0.0,0.0
217,pydm-application-template,0,0,0,0,0,0,0,0.0,0.0,0.0
218,lcls-tmo-ptm-test-vac,0,0,0,0,0,0,0,0.0,0.0,0.0
219,lcls-plc-lamp-lv17-motion,0,0,1,0,0,1,0,0.0,0.0,0.0
220,lcls-plc-lamp-lv17-vac,0,0,1,0,0,1,0,0.0,0.0,0.0
221,ioc-expstate,0,0,0,0,0,0,0,0.0,0.0,0.0
222,epicsarchiver_automation,0,0,0,0,0,0,0,0.0,0.0,0.0
223,ioc-setra-5000,0,0,0,0,0,0,0,0.0,0.0,0.0
224,ioc-tmo-kbo-chiller,0,0,0,0,0,0,0,0.0,0.0,0.0
225,lcls-plc-test-m3k3-m4k3-m2l1-m3l1-sat,0,0,0,0,0,0,1,3.0,3.0,6.0
226,pspkg-controls-basic,0,0,0,0,0,0,0,0.0,0.0,0.0
227,lcls-twincat-review,0,0,0,0,0,0,0,0.0,0.0,0.0
228,TMO_SQ1_PLC_files,0,0,0,0,0,0,0,0.0,0.0,0.0
